'stim011.tif','00120_931230_fa.tif',FERET,Unfam1,,*The names of images are in the order of the 60 unfamiliar neutral faces used in Recon_mem_exp ,
'stim021.tif','00222_940128_fa.tif',FERET,Unfam2,,*FEI: cannot use them in papers,
'stim031.tif','109-11.tif',FEI,Unfam3,,"*Radboud: can only be used in academic papers, but not under open access license",
'stim041.tif','118-11.tif',FEI,Unfam4,,,
'stim051.tif','185-11.tif',FEI,Unfam5,,References for Face Database:,
'stim061.tif','187-11.tif',FEI,Unfam6,,FERET,"Phillips, P. J., Moon, H., Rizvi, S. A., & Rauss, P. J. (2000). The FERET evaluation methodology for face-recognition algorithms. IEEE Transactions on Pattern Analysis and Machine Intelligence, 22(10), 1090–1104. https://doi.org/10.1109/34.879790"
'stim071.tif','191-11.tif',FEI,Unfam7,,,"Phillips, P. J., Wechsler, H., Huang, J., & Rauss, P. J. (1998). The FERET database and evaluation procedure for face-recognition algorithms. Image and Vision Computing, 16(5), 295–306. https://doi.org/10.1016/ S0262-8856(97)00070-X"
'stim081.tif','192-11.tif',FEI,Unfam8,,,
'stim091.tif','193-11.tif',FEI,Unfam9,,FEI,"Thomaz, C. E., & Giraldi, G. A. (2010). A new ranking method for principal components analysis and its application to face image analysis. Image and Vision Computing, 28(6), 902–913. https://doi.org/10.1016/j .imavis.2009.11.005"
'stim101.tif','20-11.tif',FEI,Unfam10,,,
'stim111.tif','27-11.tif',FEI,Unfam11,,Radboud,"Langner, O., Dotsch, R., Bijlstra, G., Wigboldus, D. H., Hawk, S. T., & van Knippenberg, A. (2010). Presentation and validation of the Radboud Faces Database. Cognition and Emotion, 24(8), 1377–1388. https://doi .org/10.1080/02699930903485076"
'stim121.tif','32-11.tif',FEI,Unfam12,,,
'stim131.tif','36-11.tif',FEI,Unfam13,,AR,"Martinez, A. R., & Benavente, R. (1998). The AR face database. CVC Technical Report."
'stim141.tif','44-11.tif',FEI,Unfam14,,,
'stim151.tif','45-11.tif',FEI,Unfam15,,,
'stim161.tif','50-11.tif',FEI,Unfam16,,,
'stim171.tif','54-11.tif',FEI,Unfam17,,,
'stim181.tif','59-11.tif',FEI,Unfam18,,,
'stim191.tif','63-11.tif',FEI,Unfam19,,,
'stim201.tif','65-11.tif',FEI,Unfam20,,,
'stim211.tif','7-11.tif',FEI,Unfam21,,,
'stim221.tif','81-11.tif',FEI,Unfam22,,,
'stim231.tif','88-11.tif',FEI,Learned 1,,,
'stim241.tif','89-11.tif',FEI,Unfam23,,,
'stim251.tif','92-11.tif',FEI,Unfam24,,,
'stim261.tif','93-11.tif',FEI,Unfam25,,,
'stim271.tif','94-11.tif',FEI,Unfam26,,,
'stim281.tif','95-11.tif',FEI,Unfam27,,,
'stim291.tif','Rafd090_03_Caucasian_male_neutral_frontal.tif',Radboud,Unfam28,,,
'stim301.tif','Rafd090_05_Caucasian_male_neutral_frontal.tif',Radboud,Unfam29,,,
'stim311.tif','Rafd090_07_Caucasian_male_neutral_frontal.tif',Radboud,Learned 2,,,
'stim321.tif','Rafd090_09_Caucasian_male_neutral_frontal.tif',Radboud,Unfam30,,,
'stim331.tif','Rafd090_10_Caucasian_male_neutral_frontal.tif',Radboud,Unfam31,,,
'stim341.tif','Rafd090_15_Caucasian_male_neutral_frontal.tif',Radboud,Unfam32,,,
'stim351.tif','Rafd090_20_Caucasian_male_neutral_frontal.tif',Radboud,Unfam33,,,
'stim361.tif','Rafd090_23_Caucasian_male_neutral_frontal.tif',Radboud,Unfam34,,,
'stim371.tif','Rafd090_25_Caucasian_male_neutral_frontal.tif',Radboud,Unfam35,,,
'stim381.tif','Rafd090_28_Caucasian_male_neutral_frontal.tif',Radboud,Unfam36,,,
'stim391.tif','Rafd090_30_Caucasian_male_neutral_frontal.tif',Radboud,Unfam37,,,
'stim401.tif','Rafd090_33_Caucasian_male_neutral_frontal.tif',Radboud,Unfam38,,,
'stim411.tif','Rafd090_36_Caucasian_male_neutral_frontal.tif',Radboud,Unfam39,,,
'stim421.tif','Rafd090_49_Caucasian_male_neutral_frontal.tif',Radboud,Unfam40,,,
'stim431.tif','Rafd090_71_Caucasian_male_neutral_frontal.tif',Radboud,Unfam41,,,
'stim441.tif','m-010-1.tif',AR,Learned 3,,,
'stim451.tif','m-012-1.tif',AR,Unfam42,,,
'stim461.tif','m-015-1.tif',AR,Unfam43,,,
'stim471.tif','m-021-1.tif',AR,Unfam44,,,
'stim481.tif','m-022-1.tif',AR,Unfam45,,,
'stim491.tif','m-023-1.tif',AR,Unfam46,,,
'stim501.tif','m-024-1.tif',AR,Unfam47,,,
'stim511.tif','m-025-1.tif',AR,Unfam48,,,
'stim521.tif','m-028-1.tif',AR,Unfam49,,,
'stim531.tif','m-030-1.tif',AR,Unfam50,,,
'stim541.tif','m-035-1.tif',AR,Unfam51,,,
'stim551.tif','m-037-1.tif',AR,Unfam52,,,
'stim561.tif','m-056-1.tif',AR,Unfam53,,,
'stim571.tif','m-057-1.tif',AR,Unfam54,,,
'stim581.tif','m-065-1.tif',AR,Unfam55,,,
'stim591.tif','m-069-1.tif',AR,Unfam56,,,
'stim601.tif','m-073-1.tif',AR,Unfam57,,,